##############################################################################
#                                                                            #
#	                Open Babel file: types.txt                           #
#                                                                            #
#  Copyright (c) 1998-2001 by OpenEye Scientific Software, Inc.              #
#  Some portions Copyright (c) 2001-2003 Geoffrey R. Hutchison               #
#  Part of the Open Babel package, under the GNU General Public License (GPL)#
#                                                                            #
#  Conversion between different external atom types                          #
#    (used by data.cpp:OBTypeTable)                                          #
#                                                                            #
#  First line specifies size of the table: # rows   # columns                #
#  Second line specifies type names used in the code                         #
#  Remaining lines specify equivalent atomic type names in each column       #
#                                                                            #
##############################################################################
183	19
INT	ATN	HYB	MMD	MM2	XYZ	ALC	HAD	MCML	C3D	SYB	MOL	MAP	DRE	XED	DOK	M3D	IDX	SBN
Tb	65	0	0	0	Tb	0	0	0	0	Tb	0	0	0	0	0	0	139	26
Dy	66	0	0	0	Dy	0	0	0	0	Dy	0	0	0	0	0	0	140	26
Ho	67	0	0	0	Ho	0	0	0	0	Ho	0	0	0	0	0	0	141	26
Er	68	0	0	0	Er	0	0	0	0	Er	0	0	0	0	0	0	142	26
Tm	69	0	0	0	Tm	0	0	0	0	Tm	0	0	0	0	0	0	143	26
Yb	70	0	0	0	Yb	0	0	0	0	Yb	0	0	0	0	0	0	144	26
Lu	71	0	0	0	Lu	0	0	0	0	Lu	0	0	0	0	0	0	145	26
Hf	72	0	0	0	Hf	0	0	0	0	Hf	0	0	0	0	0	0	146	26
Ta	73	0	0	0	Ta	0	0	0	0	Ta	0	0	0	0	0	0	147	26
Re	75	0	0	0	Re	0	0	0	0	Re	0	0	0	0	0	0	148	26
Os	76	0	0	0	Os	0	0	0	0	Os	0	0	0	0	0	0	149	26
Ir	77	0	0	0	Ir	0	0	0	0	Ir	0	0	0	0	0	0	150	26
Au	79	0	0	0	Au	0	0	0	0	Au	0	0	0	0	0	0	151	26
Hg	80	0	0	0	Hg	0	0	0	0	Hg	0	0	0	0	0	0	152	26
Tl	81	0	0	0	Tl	0	0	0	0	Tl	0	0	0	0	0	0	153	26
Bi	83	0	0	0	Bi	0	0	0	0	Bi	0	0	0	0	0	0	154	26
Po	84	0	0	0	Po	0	0	0	0	Po	0	0	0	0	0	0	155	26
